ID,word,PoS,COCA-All,COCA-Acad,ratio,disp,range,HIS,EDU,SOC,LAW,HUM,PHIL,SCI,MED,BUS,HIS,EDU,SOC,LAW,HUM,PHIL,SCI,MED,BUS
131,examine,v,38758,25731,"2,32","0,91",8,2070,4036,8534,1293,1686,2192,3837,1904,179,"0,68","2,31","2,38","0,49","0,72","0,80","0,79","0,92","0,07"
132,pattern,n,43481,25705,"2,07","0,93",8,2375,2229,6010,1143,2995,2212,6341,2097,303,"0,78","1,28","1,68","0,44","1,28","0,81","1,30","1,02","0,11"
133,researcher,n,38039,25445,"2,34","0,89",7,881,3602,5217,487,650,1686,9906,2655,361,"0,29","2,09","1,47","0,19","0,28","0,62","2,05","1,30","0,14"
134,task,n,42249,25244,"2,09","0,93",8,2060,4672,5576,1522,1869,3473,4225,1395,452,"0,69","2,73","1,58","0,59","0,81","1,29","0,88","0,69","0,17"
135,traditional,j,46771,25145,"1,88","0,95",9,4358,2773,4565,2191,3505,2558,3390,1115,690,"1,46","1,63","1,30","0,86","1,53","0,95","0,71","0,55","0,26"
136,finding,n,31073,24873,"2,80","0,90",8,779,4874,8738,821,508,1948,3110,3965,130,"0,26","2,89","2,52","0,32","0,22","0,74","0,66","1,99","0,05"
137,positive,j,42697,24803,"2,03","0,92",8,1642,4614,7221,1192,1308,2732,2451,3352,291,"0,56","2,74","2,09","0,47","0,58","1,03","0,52","1,69","0,11"
138,central,j,56615,24774,"1,53","0,94",8,5227,1080,4053,3374,2682,2248,4567,1085,458,"1,77","0,64","1,17","1,34","1,19","0,85","0,97","0,55","0,18"
139,act,n,55050,24769,"1,58","0,92",8,3330,1116,3177,6718,3012,4307,1978,688,443,"1,13","0,66","0,92","2,66","1,34","1,63","0,42","0,35","0,17"
140,impact,n,47996,24599,"1,79","0,93",8,2812,2750,4176,2939,1088,1487,7098,1873,376,"0,96","1,65","1,22","1,17","0,49","0,57","1,52","0,95","0,15"
141,reflect,v,43769,24309,"1,94","0,95",8,3393,2856,5043,2136,2710,2843,3586,1314,428,"1,17","1,73","1,49","0,86","1,22","1,10","0,78","0,67","0,17"
142,recognize,v,54314,24165,"1,56","0,96",8,3575,2132,3279,3209,2826,3657,3618,1483,386,"1,24","1,30","0,97","1,30","1,28","1,42","0,79","0,77","0,15"
143,context,n,31582,24121,"2,67","0,94",8,3193,2719,5584,2305,4239,3277,2004,729,71,"1,11","1,66","1,66","0,94","1,93","1,28","0,44","0,38","0,03"
144,relation,n,39198,23867,"2,13","0,92",8,7131,1102,3980,3839,2666,2619,1724,605,201,"2,51","0,68","1,20","1,58","1,23","1,03","0,38","0,32","0,08"
145,maintain,v,46609,23831,"1,79","0,95",9,4044,1805,3929,2673,1707,2160,4462,2409,642,"1,43","1,12","1,18","1,10","0,79","0,85","0,99","1,26","0,26"
146,African,j,37673,23820,"2,21","0,91",8,5118,2022,5249,1815,5997,1415,1419,681,104,"1,80","1,25","1,58","0,75","2,77","0,56","0,31","0,36","0,04"
147,concept,n,36019,23812,"2,31","0,95",8,2970,3377,3728,2007,3402,2303,4706,899,420,"1,05","2,09","1,12","0,83","1,57","0,91","1,04","0,47","0,17"
148,discussion,n,42851,23781,"1,94","0,95",8,3137,3658,4733,2135,2617,2684,2636,2020,161,"1,11","2,27","1,43","0,88","1,21","1,06","0,58","1,06","0,06"
149,associate,v,33081,23565,"2,49","0,92",8,1505,2144,6836,1121,2240,1895,3456,4184,184,"0,54","1,34","2,08","0,47","1,04","0,75","0,77","2,22","0,07"
150,design,v,49659,23346,"1,65","0,91",9,1701,3021,3197,1703,1447,1093,8270,1922,992,"0,61","1,91","0,98","0,72","0,68","0,44","1,87","1,03","0,41"
151,particularly,r,54165,23286,"1,51","0,95",9,3768,1759,4152,2794,2395,2203,4033,1618,564,"1,36","1,11","1,28","1,18","1,13","0,89","0,91","0,87","0,23"
152,purpose,n,43195,23214,"1,88","0,95",8,2606,3590,4326,3196,2326,2860,2633,1421,256,"0,94","2,28","1,34","1,35","1,10","1,16","0,60","0,76","0,11"
153,address,v,43482,23176,"1,87","0,95",8,2563,3706,4292,2867,2150,2161,3391,1836,210,"0,93","2,36","1,33","1,21","1,02","0,88","0,77","0,99","0,09"
